,Requirements,Responsibilities,Conditions
0,"['Высшее техническое математическое экономическое образование', 'Коммуникабельность', 'Ответственность', 'Внимательность', 'Аналитический склад ума', 'Составления бизнес-требований', 'Написание функциональных-требований', 'Формирование требований', 'SQL', 'Работа аналитиком', 'Разработка внедрение сопровождение ПО', 'Интеграционно-функциональное тестирование', 'Управление проектами', 'Управление', 'Администрирование и сопровождение', 'Проектирование интерфейсов', 'Юзабилити тестирование', 'Объектно-ориентированное программирование', 'Внедрение и сопровождение', 'Администрирование', 'Практический опыт разработки ', 'Параллельное программирование', 'Администрирование субд Oracle', 'Документирование процессов', 'Моделирование процессов', 'Сопровождение программного обеспечения', 'Администрирование веб-серверов', 'Администрирование проектов', 'Английский язык', 'Программирование', 'Web-приложения', 'Тестирование ПО', 'Проектирование архитектуры', 'Проектирование программного обеспечения', 'Знание банковских продуктов', 'Написание технического задания', 'Программирование на Java', 'Внедрение систем', 'Разработка документов', 'Тестирование', 'Работа с требованиями', 'Ответственность за результат', 'Аналитический склад ума', 'Умение работать в команде', 'Информационная безопасность', 'Сетевые технологии', 'Оптимизация бизнес-процессов', 'Кросс-функциональные команды', 'Организация взаимодействия', 'Организация внутрибанковских процессов', 'Паттерны проектирования', 'Сбор анализ и документирование требований', 'Написание тестов', 'Автоматизация тестирования', 'Написание запросов', 'Задачи по интеграции', 'Разработка мобильных приложений', 'Архитектура баз данных', 'Администрирование БД', 'Телекоммуникации', 'Банковские продукты', 'Оптимизация SQL запросов', 'Желание работать', 'Сбор и формализация требований', 'Знание методологий управления', 'Банковское ПО']","['Функциональное тестирование', 'Оптимизация систем', 'Автоматизация', 'Автоматизированное тестирование', 'Документирование', 'Java-приложения', 'Оптимизация бизнес-процессов', 'Сопровождение', 'Консультирование', 'Сбор бизнес требований', 'Сбор функциональных требований', 'Взаимодействие с разработчиками', 'Взаимодействие с бизнес заказчиками', 'WEB-приложения', 'Тестирование', 'Автоматизация бизнес-процессов', 'Моделирование', 'Анализ', 'Согласование', 'Контроль', 'Шаблоны проектирования', 'IOS-приложения', 'Управление', 'Техническое задание', 'Защита информации', 'Внедрение', 'Документация', 'Интеграционное тестирование', 'Нагрузочное тестирование', 'Сбор требований', 'Планирование', 'Архитектура ПО', 'Оптимизация запросов', 'Сбор информации', 'Исправление дефектов', 'Установка ПО']","['Оформление по тк', 'Официальное трудоустройство', 'Льготное кредитование', 'Достойная заработная плата', 'Корпоративные мероприятия', 'Премии', 'Возможность влиять', 'Обучение', 'Профессиональное развитие', 'Профессиональная команда', 'Страхование', 'Профессиональный рост', 'Бесплатное обучение', 'Корпоративная библиотека', 'Мероприятия для детей', 'Социальный пакет']"
1,"['Стрессоустойчивость', 'Клиенториентированность', 'Пунктуальность', 'Confluence Jira', 'Сервис-ориентированная архитектура', 'Микросервисы ', 'Мониторинг', 'Организация взаимодействия с бизнес-заказчиками', 'Python', 'Опыт работы в области IT', 'Оптимизация производительности', 'Zabbix', 'методологии Agile Scrum Kanban', 'Кроссплатформенная разработка', 'Kubernetes технологии', 'Построение инфраструктуры', 'Обеспечение работоспособности систем и сервисов', 'Инициативность', 'Отказоустойчивая архитектура', 'devOPS', 'Мониторинг производительности', 'Отчетность', 'Подготовка презентаций', 'SQL-запросы', 'Современные методы разработки ПО', 'Тайм-менеджмент', 'javascript', 'linux', 'Понимание банковской финансовой сферы', 'Визуализация', 'Микросервисная архитектура', 'Написание автотестов', 'Консультирование', 'Реляционные БД', 'инструменты Веб-аналитики', 'Алгоритмы и структуры данных', 'Microsoft Office', 'MS Office', 'Стратегическое мышление', 'Ведение переговоров']","['Презентации', 'Результат', 'Отчетность', 'Ответственность', 'Самостоятельность', 'Администрирование', 'Телекоммуникации', 'Контроль сроков', 'Работа в команде', 'Банковское ПО', 'ETL-процессы', 'Мониторинг', 'Техническая поддержка', 'SQL', 'Микросервисная архитектура', 'Спецификации', 'Операционные системы', 'Прототипирование', 'Клиенты', 'Инциденты']","['Программы лояльности', 'Дружный коллектив', 'Отпуск', 'Личное развитие', 'Скидки', 'Стабильная компания', 'Оплата больничных', 'Индивидуальный график', 'Пенсионные программы', 'Молодой коллектив', 'Тренинги', 'в центре', 'Интересные проекты', 'Комфортный офис', 'Дополнительный отпуск', 'Самореализация']"
2,['Дисциплинированность'],['Терминалы'],"['Карьерный рост', 'Своевременная оплата', 'Доход по результатам', 'Опыт работы', 'Своевременная заработная плата']"
3,['Написание unit-тестов'],"['Коммуникабельность', 'JavaScript', 'Desktop-приложения', 'Проектирование высоконагруженных систем']","['Современные инструменты', 'Гибкий график', 'Современный офис']"
4,"['Целеустремленность', 'Продажи']","['Банки', 'Финансовые модели']","['Английский', 'Сертификация', 'Дисконт-программы']"
5,['IOT продукты'],['Стратегия'],"['Конкурентоспособная зарплата', 'Амбициозные задачи', 'Высококвалифицированный коллектив', 'Высококвалифицированная команда', 'Белая зарплата', 'Посещение конференций', 'Инновационные проекты']"
6,['Restapi'],"['Структуры и алгоритмы', 'Объектно-ориентированное программирование']",['Исследовать и пробовать']
7,['Работа product owner'],"['Jira Confluence', 'Командировки', 'Интервью']","['Развивающаяся компания', 'Новые технологии']"
8,['Оформление отчетов'],"['Высшее техническое математическое экономическое образование', 'Высшее техническое образование']","['Проекты с нуля', 'Командировки']"
9,"['React Vue Angular Node.js', 'Node.js', 'HTML CSS']","['back-end', 'front-end']","['Шаговая доступность от метро', 'Годовой бонус']"
10,['Портфолио'],"['Многопоточные приложения', 'Android']","['Подарок в честь дня рождения', 'Удаленная работа', 'Уютный офис']"
11,['Опыт SAS'],['Статистические модели'],"['Участие в крупных проектах', 'Бизнес-ланч']"
12,"['Фреймворк hadoop', 'git', 'Принципы CI/CD']",['DevOps'],['Повышение квалификации']
13,"['Grafana', 'Работа с серверами']",['Linux'],"['Фитнес-зал', 'Митапы']"
14,['Работа в ИТ'],['Swift'],['Минимум бюрократии']
15,"['Оптимизация веб-серверов', 'Базы данных']",['Тест-кейсы'],['Паркинг']
16,['Владение front-end'],['Git'],['Прозрачная система']
17,['Теория вероятности и математической статистики'],['Машинное обучение'],['Мобильная связь']
18,['Работа с рисками'],['Постановка задач'],['Финансирование обучения']
19,['Многопоточность'],"['Рефакторинг кода', 'СУБД Oracle']","['Масштабные проекты', 'Релокация']"
